loss,categorical_accuracy,val_loss,val_categorical_accuracy,lr
2.2312567234039307,0.3981263041496277,1.8029839992523193,0.4311999976634979,9.999999747378752e-05
1.6125527620315552,0.4654736816883087,1.5072094202041626,0.4975999891757965,9.999999747378752e-05
1.5408145189285278,0.4903368353843689,1.6125507354736328,0.47360000014305115,9.999999747378752e-05
1.4886261224746704,0.5089684128761292,1.3288739919662476,0.5479999780654907,9.999999747378752e-05
1.4301670789718628,0.5251789689064026,1.5422399044036865,0.520799994468689,9.999999747378752e-05
1.3737409114837646,0.546652615070343,1.790353536605835,0.49880000948905945,9.999999747378752e-05
1.3086034059524536,0.5660842061042786,1.2428845167160034,0.597599983215332,9.999999747378752e-05
1.2358189821243286,0.5846315622329712,1.1926947832107544,0.6003999710083008,9.999999747378752e-05
1.1736541986465454,0.600252628326416,1.1103687286376953,0.6287999749183655,9.999999747378752e-05
1.1173861026763916,0.6176421046257019,1.0898410081863403,0.6304000020027161,9.999999747378752e-05
1.055436611175537,0.6373473405838013,1.0652387142181396,0.6547999978065491,9.999999747378752e-05
1.0235182046890259,0.6504210233688354,1.23697030544281,0.6104000210762024,9.999999747378752e-05
0.981560468673706,0.665242075920105,1.0221422910690308,0.6620000004768372,9.999999747378752e-05
0.9402979612350464,0.6737895011901855,0.8988223671913147,0.6995999813079834,9.999999747378752e-05
0.9098114371299744,0.6897894740104675,0.8935886025428772,0.7027999758720398,9.999999747378752e-05
0.8638903498649597,0.701200008392334,0.8450024127960205,0.7164000272750854,9.999999747378752e-05
0.840083122253418,0.7123157978057861,0.843612015247345,0.7271999716758728,9.999999747378752e-05
0.805656909942627,0.7230947613716125,0.9021230340003967,0.6948000192642212,9.999999747378752e-05
0.7636446356773376,0.7357052564620972,0.8744774460792542,0.722000002861023,9.999999747378752e-05
0.7483561038970947,0.7422105073928833,0.866767406463623,0.7260000109672546,9.999999747378752e-05
0.7166065573692322,0.7542315721511841,0.7794407606124878,0.7531999945640564,9.999999747378752e-05
0.6932284832000732,0.7622736692428589,0.6702890992164612,0.7663999795913696,9.999999747378752e-05
0.6688044667243958,0.7695158123970032,0.6665960550308228,0.77920001745224,9.999999747378752e-05
0.6496713757514954,0.77983158826828,0.6614011526107788,0.7775999903678894,9.999999747378752e-05
0.6287344694137573,0.7845894694328308,0.7142122983932495,0.7588000297546387,9.999999747378752e-05
0.6067715287208557,0.793684184551239,0.6368356943130493,0.7807999849319458,9.999999747378752e-05
0.5853952765464783,0.798673689365387,0.7021620273590088,0.7703999876976013,9.999999747378752e-05
0.5719252824783325,0.8034526109695435,0.777762234210968,0.7675999999046326,9.999999747378752e-05
0.5526249408721924,0.8117052912712097,0.7508935332298279,0.7699999809265137,9.999999747378752e-05
0.526099681854248,0.8185473680496216,0.7367444038391113,0.7764000296592712,9.999999747378752e-05
0.5097687244415283,0.8241473436355591,0.6396729946136475,0.7879999876022339,9.999999747378752e-05
0.5126959085464478,0.8246526122093201,0.6590823531150818,0.7915999889373779,9.999999747378752e-05
0.49271824955940247,0.8316631317138672,0.7101013660430908,0.7972000241279602,9.999999747378752e-05
0.47278693318367004,0.8397263288497925,0.6198989152908325,0.7968000173568726,9.999999747378752e-05
0.4628317356109619,0.8426315784454346,0.5233045220375061,0.8263999819755554,9.999999747378752e-05
